id_compra_mercadoria,id_fornecedor,data_compra,descricao,quantidade,valor_unitario,valor_total,data_vencimento,status_pagamento
1,4,2023-01-05,Refrigerante Coca-Cola 2L,100,6.50,650.00,2023-02-05,pago
2,4,2023-01-05,Refrigerante Guaraná 2L,80,5.80,464.00,2023-02-05,pago
3,4,2023-01-12,Suco de laranja 1L,60,8.50,510.00,2023-02-12,pago
4,16,2023-01-15,Suco de uva integral,40,12.00,480.00,2023-02-15,pago
5,16,2023-01-15,Suco de maracujá,35,11.50,402.50,2023-02-15,pago
6,29,2023-01-18,Cerveja Heineken lata,200,3.80,760.00,2023-02-18,pago
7,29,2023-01-18,Cerveja Stella Artois,150,4.20,630.00,2023-02-18,pago
8,26,2023-01-20,Azeite extra virgem 500ml,30,28.00,840.00,2023-02-20,pago
9,26,2023-01-20,Vinagre balsâmico,20,22.00,440.00,2023-02-20,pago
10,13,2023-01-22,Vinho tinto Malbec,25,45.00,1125.00,2023-02-22,pago
11,13,2023-01-22,Vinho branco Chardonnay,20,42.00,840.00,2023-02-22,pago
12,8,2023-01-25,Detergente neutro,50,3.20,160.00,2023-02-25,pago
13,8,2023-01-25,Desinfetante,40,6.50,260.00,2023-02-25,pago
14,8,2023-01-28,Álcool gel 70%,60,12.00,720.00,2023-02-28,pago
15,9,2023-02-02,Guardanapo papel,100,8.50,850.00,2023-03-02,pago
16,9,2023-02-02,Papel toalha,80,12.00,960.00,2023-03-02,pago
17,9,2023-02-05,Copo descartável 300ml,150,15.00,2250.00,2023-03-05,pago
18,9,2023-02-08,Prato descartável,120,18.00,2160.00,2023-03-08,pago
19,4,2023-02-10,Refrigerante Fanta 2L,90,6.00,540.00,2023-03-10,pago
20,4,2023-02-10,Água mineral 500ml,200,1.80,360.00,2023-03-10,pago
21,16,2023-02-12,Suco de abacaxi,45,10.50,472.50,2023-03-12,pago
22,29,2023-02-15,Cerveja Budweiser,180,3.50,630.00,2023-03-15,pago
23,29,2023-02-15,Cerveja Corona,120,4.80,576.00,2023-03-15,pago
24,26,2023-02-18,Azeite português,25,35.00,875.00,2023-03-18,pago
25,13,2023-02-20,Vinho tinto Cabernet,22,48.00,1056.00,2023-03-20,pago
26,13,2023-02-20,Vinho rosé,18,38.00,684.00,2023-03-20,pago
27,8,2023-02-22,Sabão em pó,35,18.00,630.00,2023-03-22,pago
28,8,2023-02-25,Água sanitária,45,4.50,202.50,2023-03-25,pago
29,9,2023-02-28,Sacola plástica,200,0.80,160.00,2023-03-28,pago
30,9,2023-03-03,Embalagem marmitex,180,1.20,216.00,2023-04-03,pago
31,4,2023-03-05,Refrigerante Sprite 2L,85,6.20,527.00,2023-04-05,pago
32,4,2023-03-08,Água com gás,150,2.50,375.00,2023-04-08,pago
33,16,2023-03-10,Suco de manga,38,11.00,418.00,2023-04-10,pago
34,16,2023-03-12,Suco de goiaba,42,10.00,420.00,2023-04-12,pago
35,29,2023-03-15,Cerveja Skol lata,220,3.20,704.00,2023-04-15,pago
36,29,2023-03-18,Cerveja Brahma,190,3.40,646.00,2023-04-18,pago
37,26,2023-03-20,Azeite espanhol,28,32.00,896.00,2023-04-20,pago
38,13,2023-03-22,Vinho tinto Merlot,24,44.00,1056.00,2023-04-22,pago
39,13,2023-03-25,Espumante brut,15,55.00,825.00,2023-04-25,pago
40,8,2023-03-28,Limpador multiuso,40,8.50,340.00,2023-04-28,pago
41,8,2023-04-02,Esponja de aço,60,2.80,168.00,2023-05-02,pago
42,9,2023-04-05,Papel alumínio,50,12.00,600.00,2023-05-05,pago
43,9,2023-04-08,Filme PVC,45,15.00,675.00,2023-05-08,pago
44,4,2023-04-10,Refrigerante Pepsi 2L,95,6.30,598.50,2023-05-10,pago
45,4,2023-04-12,Chá gelado,70,4.50,315.00,2023-05-12,pago
46,16,2023-04-15,Suco de acerola,40,11.50,460.00,2023-05-15,pago
47,29,2023-04-18,Cerveja Amstel,160,3.90,624.00,2023-05-18,pago
48,29,2023-04-20,Cerveja Eisenbahn,100,5.20,520.00,2023-05-20,pago
49,26,2023-04-22,Azeite italiano,22,38.00,836.00,2023-05-22,pago
50,13,2023-04-25,Vinho tinto Syrah,20,46.00,920.00,2023-05-25,pago
51,13,2023-04-28,Vinho branco Sauvignon,18,44.00,792.00,2023-05-28,pago
52,8,2023-05-02,Sabonete líquido,55,8.00,440.00,2023-06-02,pago
53,8,2023-05-05,Lustra móveis,30,12.00,360.00,2023-06-05,pago
54,9,2023-05-08,Saco de lixo 100L,100,18.00,1800.00,2023-06-08,pago
55,9,2023-05-10,Saco de lixo 50L,120,12.00,1440.00,2023-06-10,pago
56,4,2023-05-12,Refrigerante Schweppes,75,7.00,525.00,2023-06-12,pago
57,4,2023-05-15,Energético Red Bull,80,8.50,680.00,2023-06-15,pago
58,16,2023-05-18,Suco de caju,36,10.50,378.00,2023-06-18,pago
59,29,2023-05-20,Cerveja Bohemia,140,4.00,560.00,2023-06-20,pago
60,29,2023-05-22,Cerveja Colorado,90,5.80,522.00,2023-06-22,pago
