id_post,id_campanha,plataforma,tipo_conteudo,descricao,url_midia,data_publicacao,curtidas,comentarios,compartilhamentos,alcance
216,9,TikTok,,Post 216: Evento,https://cdn.restaurante.com.br/media/216.jpg,,2075,232,256,24329
117,116,Instagram,Post,Post 117: Promoção,,2022-08-25 22:15:00,243,422,160,12972
102,51,YouTube,Story,Post 102: Promoção,https://cdn.restaurante.com.br/media/102.jpg,2023-07-10 11:42:00,4493,168,256,32618
87,104,Instagram,Story,Post 87: Cardápio novo,https://cdn.restaurante.com.br/media/87.jpg,2022-07-22 11:50:00,2240,341,245,-76
12,13,Instagram,Reels,Post 12: Prato do dia,,2024-01-30 20:12:00,1455,68,82,20976
81,187,Facebook,Video,Post 81: Prato do dia,https://cdn.restaurante.com.br/media/81.jpg,2024-07-02 08:51:00,1934,378,51,13128
4,15,Facebook,Carrossel,Post 4: Promoção,https://cdn.restaurante.com.br/media/4.jpg,2023-02-10 09:30:00,4816,190,142,-24
6,,YouTube,Story,Post 6: Promoção,https://cdn.restaurante.com.br/media/6.jpg,2022-10-09 12:03:00,867,,181,46157
150,202,Instagram,Story,Post 150: Promoção,https://cdn.restaurante.com.br/media/150.jpg,2022-03-18 19:44:00,muitos,203,77,28030
146,140,Facebook,Post,Post 146: Cardápio novo,https://cdn.restaurante.com.br/media/146.jpg,2024-08-24 10:56:00,65,327,233,14729
78,143,TikTok,Live,Post 78: Cardápio novo,https://cdn.restaurante.com.br/media/78.jpg,2024-03-10 10:25:00,1721,258,134,37798
143,212,Twitter/X,Video,Post 143: Promoção,https://cdn.restaurante.com.br/media/143.jpg,,3390,33,243,6121
165,51,TikTok,Story,Post 165: Evento,https://cdn.restaurante.com.br/media/165.jpg,,4481,483,219,45767
76,118,Facebook,Post,Post 76: Cardápio novo,https://cdn.restaurante.com.br/media/76.jpg,2024-07-11 17:32:00,220,77,,15162
121,,twitter,Carrossel,Post 121: Promoção,https://cdn.restaurante.com.br/media/121.jpg,2022-04-11 19:19:00,,266,278,29379
35,156,,Live,Post 35: Cardápio novo,https://cdn.restaurante.com.br/media/35.jpg,2024-12-17 19:12:00,4911,,79,-9
201,195,YouTube,Story,Post 201: Prato do dia,https://cdn.restaurante.com.br/media/201.jpg,2023-07-12 22:58:00,67,127,291,28045
44,211,Twitter/X,Story,Post 44: Cardápio novo,https://cdn.restaurante.com.br/media/44.jpg,2022-02-13 18:28:00,101,77,200,
181,110,Instagram,storie,Post 181: Prato do dia,https://cdn.restaurante.com.br/media/181.jpg,2022-09-23 09:16:00,816,399,25,31872
167,45,Twitter/X,Video,Post 167: Evento,https://cdn.restaurante.com.br/media/167.jpg,2022-01-17 08:29:00,muitos,469,100,38578
30,21,TikTok,Video,,https://cdn.restaurante.com.br/media/30.jpg,2022-10-20 12:10:00,muitos,110,208,
113,182,YouTube,,Post 113: Evento,https://cdn.restaurante.com.br/media/113.jpg,2023-07-20 16:33:00,2940,218,199,42557
124,45,YouTube,Post,Post 124: Promoção,https://cdn.restaurante.com.br/media/124.jpg,2022-11-29 12:10:00,503,122,109,15027
37,3,Facebook,REELS,Post 37: Cardápio novo,https://cdn.restaurante.com.br/media/37.jpg,2023-04-24 13:53:00,4671,477,248,32630
200,189,Twitter/X,Story,Post 200: Evento,https://cdn.restaurante.com.br/media/200.jpg,2022-03-18 16:27:00,2965,,147,14481
197,127,YouTube,Video,Post 197: Promoção,,2022-05-14 22:12:00,2620,,68,22286
73,25,Twitter/X,Carrossel,Post 73: Promoção,https://cdn.restaurante.com.br/media/73.jpg,2023-08-09 16:27:00,4994,187,58,48005
80,151,Twitter/X,Live,Post 80: Prato do dia,https://cdn.restaurante.com.br/media/80.jpg,2022-10-22 14:35:00,1892,114,140,48189
9,136,YouTube,Story,Post 9: Evento,https://cdn.restaurante.com.br/media/9.jpg,2024-06-14 19:50:00,3313,403,88,4491
214,131,Twitter/X,Video,Post 214: Prato do dia,https://cdn.restaurante.com.br/media/214.jpg,2022-01-01 12:46:00,4780,210,204,48768
133,8,TikTok,Carrossel,Post 133: Promoção,https://cdn.restaurante.com.br/media/133.jpg,2024-03-15 12:11:00,1804,446,188,5972
91,201,Twitter/X,,,https://cdn.restaurante.com.br/media/91.jpg,2023-11-17 13:37:00,1496,248,224,26113
3,101,YouTube,Post,Post 3: Prato do dia,https://cdn.restaurante.com.br/media/3.jpg,2022-02-24 13:36:00,4410,330,118,12434
153,151,tik tok,Reels,Post 153: Promoção,https://cdn.restaurante.com.br/media/153.jpg,2024-10-11 22:07:00,1662,,29,
10,44,Facebook,Story,Post 10: Evento,https://cdn.restaurante.com.br/media/10.jpg,2022-01-18 20:06:00,2889,373,207,13899
50,43,--,Post,Post 50: Promoção,,32/06/2023,1294,,102,31445
211,114,TikTok,Story,Post 211: Evento,https://cdn.restaurante.com.br/media/211.jpg,2024-08-22 20:13:00,1703,30,29,-36
64,170,Instagram,Story,Post 64: Cardápio novo,https://cdn.restaurante.com.br/media/64.jpg,30-05-2022,3689,223,83,12698
107,70,,Video,Post 107: Cardápio novo,https://cdn.restaurante.com.br/media/107.jpg,2023-02-25 18:17:00,822,144,23,
18,149,Twitter/X,Story,Post 18: Prato do dia,https://cdn.restaurante.com.br/media/18.jpg,2024-05-25 08:19:00,3363,377,48,22604
134,67,,Carrossel,Post 134: Promoção,https://cdn.restaurante.com.br/media/134.jpg,2022-11-24 10:17:00,muitos,147,188,12616
161,135,Instagram,Story,Post 161: Prato do dia,https://cdn.restaurante.com.br/media/161.jpg,2022-03-31 08:45:00,2145,,92,36410
158,140,TikTok,vid,Post 158: Prato do dia,https://cdn.restaurante.com.br/media/158.jpg,2024-03-23 22:49:00,1322,235,205,12587
207,218,Twitter/X,Carrossel,Post 207: Cardápio novo,https://cdn.restaurante.com.br/media/207.jpg,2023-11-14 09:51:00,1707,0,150,
32,216,YouTube,Post,Post 32: Promoção,https://cdn.restaurante.com.br/media/32.jpg,2023-12-23 21:45:00,4082,127,265,28293
47,5,YouTube,Video,Post 47: Promoção,https://cdn.restaurante.com.br/media/47.jpg,2022-01-15 15:30:00,2976,364,142,22392
26,14,Instagram,Live,Post 26: Prato do dia,https://cdn.restaurante.com.br/media/26.jpg,2022-08-17 14:30:00,45,197,192,42046
34,152,YouTube,Reels,,https://cdn.restaurante.com.br/media/34.jpg,2023-05-23 11:20:00,3911,442,204,40347
180,45,yt,Video,Post 180: Cardápio novo,https://cdn.restaurante.com.br/media/180.jpg,2022-06-07 22:48:00,4284,62,210,-69
16,74,Twitter/X,Story,Post 16: Prato do dia,https://cdn.restaurante.com.br/media/16.jpg,2022-06-09 20:31:00,2200,176,219,24170
180,45,yt,Video,Post 180: Cardápio novo,https://cdn.restaurante.com.br/media/180.jpg,2022-06-07 22:48:00,4284,62,210,-69
172,8,YouTube,Video,Post 172: Evento,https://cdn.restaurante.com.br/media/172.jpg,2023-13-01,,119,42,44228
101,171,Facebook,Video,Post 101: Promoção,https://cdn.restaurante.com.br/media/101.jpg,2024-04-15 10:48:00,4723,282,173,21096
119,168,Twitter/X,Carrossel,Post 119: Evento,https://cdn.restaurante.com.br/media/119.jpg,2023-08-13 19:56:00,4510,18,89,10080
219,29,TikTok,Reels,Post 219: Prato do dia,https://cdn.restaurante.com.br/media/219.jpg,,795,300,112,21179
145,199,Facebook,Story,Post 145: Prato do dia,https://cdn.restaurante.com.br/media/145.jpg,2023-02-23 10:57:00,1464,245,196,
208,50,Facebook,Video,Post 208: Cardápio novo,,2023-07-31 11:40:00,3301,,193,19331
173,211,Facebook,Reels,Post 173: Prato do dia,https://cdn.restaurante.com.br/media/173.jpg,2024-05-07 15:14:00,818,485,,14928
90,19,TikTok,Carrossel,Post 90: Cardápio novo,https://cdn.restaurante.com.br/media/90.jpg,03-12-2022,2009,397,179,6115
59,177,Twitter/X,carrosel,Post 59: Promoção,https://cdn.restaurante.com.br/media/59.jpg,2023-10-25 14:36:00,568,103,282,-51
13,29,Twitter/X,Post,,https://cdn.restaurante.com.br/media/13.jpg,2024-08-28 14:55:00,2305,111,269,-74
14,51,Instagram,live agora,Post 14: Promoção,https://cdn.restaurante.com.br/media/14.jpg,2023-06-15 12:45:00,3565,153,70,16675
191,12,YouTube,Reels,Post 191: Prato do dia,https://cdn.restaurante.com.br/media/191.jpg,2024-09-02 18:10:00,2423,190,264,24240
111,,Facebook,Carrossel,Post 111: Prato do dia,https://cdn.restaurante.com.br/media/111.jpg,2024-11-10 13:31:00,3511,96,36,19163
130,160,FACEBOOK,Video,Post 130: Cardápio novo,https://cdn.restaurante.com.br/media/130.jpg,2022-08-22 14:30:00,3619,12,197,44854
124,45,YouTube,Post,Post 124: Promoção,https://cdn.restaurante.com.br/media/124.jpg,2022-11-29 12:10:00,503,122,109,15027
113,182,YouTube,,Post 113: Evento,https://cdn.restaurante.com.br/media/113.jpg,2023-07-20 16:33:00,2940,218,199,42557
97,53,,Reels,Post 97: Prato do dia,https://cdn.restaurante.com.br/media/97.jpg,17-10-2023,4809,66,94,48379
94,123,Instagram,Live,Post 94: Prato do dia,,2022-06-22 13:05:00,2049,117,221,33596
160,190,TikTok,post mesmo,Post 160: Evento,https://cdn.restaurante.com.br/media/160.jpg,2023-08-19 09:49:00,3174,168,247,39312
