id_gasto,id_categoria,descricao,valor,data_gasto,tipo_pagamento,comprovante,observacoes
1,1,Aluguel Janeiro 2023,8500.00,2023-01-10,boleto,COMP001,Pagamento em dia
2,2,Energia Elétrica Janeiro,1850.00,2023-01-15,boleto,COMP002,Consumo alto
3,3,Água Janeiro,450.00,2023-01-15,boleto,COMP003,NULL
4,4,Internet e Telefonia Janeiro,380.00,2023-01-20,cartao,COMP004,Plano empresarial
5,5,Gás Janeiro,1200.00,2023-01-22,dinheiro,COMP005,3 botijões
6,6,Manutenção fogão industrial,850.00,2023-01-25,pix,COMP006,Reparo urgente
7,7,Anúncio Facebook Ads,500.00,2023-01-28,cartao,COMP007,Campanha mensal
8,8,IPTU 1ª parcela,1200.00,2023-01-30,boleto,COMP008,NULL
9,9,Seguro estabelecimento,650.00,2023-01-31,boleto,COMP009,Renovação anual
10,10,Produtos limpeza,320.00,2023-02-02,dinheiro,COMP010,Compra emergencial
11,1,Aluguel Fevereiro 2023,8500.00,2023-02-10,boleto,COMP011,NULL
12,2,Energia Elétrica Fevereiro,1920.00,2023-02-15,boleto,COMP012,Aumento tarifa
13,3,Água Fevereiro,480.00,2023-02-15,boleto,COMP013,NULL
14,4,Internet e Telefonia Fevereiro,380.00,2023-02-20,cartao,COMP014,NULL
15,5,Gás Fevereiro,1150.00,2023-02-22,dinheiro,COMP015,3 botijões
16,11,Serviços contábeis Fevereiro,1200.00,2023-02-25,pix,COMP016,Mensalidade
17,7,Google Ads,450.00,2023-02-28,cartao,COMP017,Campanha online
18,12,Frete entrega,280.00,2023-03-02,pix,COMP018,Delivery
19,13,Telefone fixo,180.00,2023-03-05,boleto,COMP019,NULL
20,14,Material escritório,220.00,2023-03-08,cartao,COMP020,Papelaria
21,1,Aluguel Março 2023,8500.00,2023-03-10,boleto,COMP021,NULL
22,2,Energia Elétrica Março,1780.00,2023-03-15,boleto,COMP022,NULL
23,3,Água Março,420.00,2023-03-15,boleto,COMP023,NULL
24,4,Internet e Telefonia Março,380.00,2023-03-20,cartao,COMP024,NULL
25,5,Gás Março,1250.00,2023-03-22,dinheiro,COMP025,3 botijões
26,6,Manutenção geladeira,1200.00,2023-03-25,pix,COMP026,Troca compressor
27,15,Uniformes novos,850.00,2023-03-28,cartao,COMP027,10 uniformes
28,16,Treinamento equipe,1500.00,2023-03-30,pix,COMP028,Curso atendimento
29,7,Instagram Ads,400.00,2023-04-02,cartao,COMP029,NULL
30,12,Frete entrega,320.00,2023-04-05,pix,COMP030,Delivery
31,1,Aluguel Abril 2023,8500.00,2023-04-10,boleto,COMP031,NULL
32,2,Energia Elétrica Abril,1650.00,2023-04-15,boleto,COMP032,Consumo reduzido
33,3,Água Abril,390.00,2023-04-15,boleto,COMP033,NULL
34,4,Internet e Telefonia Abril,380.00,2023-04-20,cartao,COMP034,NULL
35,5,Gás Abril,1100.00,2023-04-22,dinheiro,COMP035,3 botijões
36,11,Serviços contábeis Abril,1200.00,2023-04-25,pix,COMP036,NULL
37,17,Liquidificador industrial,2800.00,2023-04-28,cartao,COMP037,Equipamento novo
38,18,Renovação alvará,450.00,2023-04-30,boleto,COMP038,Taxa anual
39,19,Tarifas bancárias,180.00,2023-05-02,NULL,COMP039,Débito automático
40,7,Marketing digital,550.00,2023-05-05,cartao,COMP040,Campanha completa
41,1,Aluguel Maio 2023,8500.00,2023-05-10,boleto,COMP041,NULL
42,2,Energia Elétrica Maio,1820.00,2023-05-15,boleto,COMP042,NULL
43,3,Água Maio,460.00,2023-05-15,boleto,COMP043,NULL
44,4,Internet e Telefonia Maio,380.00,2023-05-20,cartao,COMP044,NULL
45,5,Gás Maio,1180.00,2023-05-22,dinheiro,COMP045,3 botijões
